Or,FreeFlow,Car_Avg,PT_Avg,FullFreq,POP2017
07916444,1353863,1271157,863037,1108504,5306
07916445,1332248,1239570,848046,1087912,4764
07916446,1373671,1279120,826799,1088797,5632
07916447,1331516,1240931,857254,1092087,7418
07916448,1344408,1266237,810239,1085429,4790
07916449,1365345,1284435,941836,1176411,7251
07916450,1331856,1241974,879620,1138875,6355
07916451,1337302,1252943,917268,1195887,6103
07916452,1344775,1259899,963513,1204831,4433
07916453,1340794,1251518,864606,1106712,2647
07916454,1361776,1277561,953717,1182328,4543
07916455,1329167,1241377,946919,1215491,9439
07916456,1348711,1251697,824188,1110932,9570
07916457,1317572,1235478,898739,1100880,5831
07916458,1307374,1222980,847028,1048676,8126
07916459,1336327,1246317,665827,886513,2004
07916460,1354961,1261170,797915,1086745,7265
07916461,1361084,1265415,845100,1075301,1923
07916462,1386473,1294790,733424,988175,3287
07916463,1384826,1294798,797103,1136441,6607
07917464,1340229,1138571,748256,1075143,26
07917465,1301781,1115877,800301,1087223,625
07917466,1285561,1105976,760980,1032865,9836
07917467,1317515,1131287,817642,1095840,3419
07917468,1310888,1125278,800160,1094861,8152
07917469,1333510,1151214,815791,1099713,0
07917470,1334720,1148114,786546,1084948,7944
07917471,1302651,1118543,803758,1100575,8464
07917472,1275802,1091778,746665,1030391,0
07917473,1312324,1113652,868749,1111417,6019
07917474,1271458,1081563,758014,1055806,11821
07917475,1262099,1069987,836461,1130119,5559
07917476,1250726,1066453,781344,1055478,9106
07917477,1259890,1074165,828100,1119777,7101
07917478,1250631,1088918,698277,923038,824
07917479,1296767,1119063,860393,1163447,8231
07917480,1293864,1119424,782478,1035548,6
07917481,1257495,1081976,831372,1107684,6598
07917482,1309860,1126338,859925,1140271,13464
07917483,1329014,1142161,796270,1057651,12674
07917484,1261964,1098019,703902,948408,108
07917485,1325922,1144342,659564,973708,2847
07917486,1253347,1090645,713362,984049,9654
07917487,1287640,1119120,701936,1008567,13
07917488,1279650,1100158,782490,1029981,5510
07917489,1283351,1103489,476948,707576,0
